#{"t_start": 1780643578.868476, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,35.794611
-200.0,200,35.818713
-200.0,200,35.842852
-200.0,200,36.167389
-200.0,200,36.191602
-200.0,200,36.215687
-200.0,200,36.239747
-200.0,200,36.263631
-200.0,200,36.381009
-200.0,200,36.406329
-200.0,200,36.431473
-200.0,200,36.455657
-200.0,200,36.480269
-200.0,200,36.807343
-200.0,200,36.831524
-200.0,200,36.855981
-200.0,200,36.88171
-200.0,200,36.907466
-200.0,200,36.932416
-200.0,200,36.957013
-200.0,200,36.981346
-200.0,200,37.005562
-200.0,200,37.02992
-200.0,200,37.358036
-200.0,200,37.38508
-200.0,200,37.415775
-200.0,200,37.441412
-200.0,200,37.466982
-200.0,200,37.492022
-200.0,200,37.517373
-200.0,200,37.54223
-200.0,200,37.567327
-200.0,200,37.593397
-200.0,200,37.926384
-200.0,200,37.951651
-200.0,200,37.976158
-200.0,200,38.000933
-200.0,200,38.025311
-200.0,200,38.04957
-200.0,200,38.073772
-200.0,200,38.097932
-200.0,200,38.121842
-200.0,200,38.145833
-200.0,200,38.170421
-200.0,200,38.496895
-200.0,200,38.521551
-200.0,200,38.546027
-200.0,200,38.570389
-200.0,200,38.594992
-200.0,200,38.620026
-200.0,200,38.644239
-200.0,200,38.668519
-200.0,200,38.692976
-200.0,200,38.717247
-200.0,200,39.042631
-200.0,200,39.066719
-200.0,200,39.090739
-200.0,200,39.114652
-200.0,200,39.230495
-200.0,200,39.256068
-200.0,200,39.281008
-200.0,200,39.305469
-200.0,200,39.329988
-200.0,200,39.354785
-200.0,200,39.688407
-200.0,200,39.713606
-200.0,200,39.738954
-200.0,200,39.76386
-200.0,200,39.788374
-200.0,200,39.812604
-200.0,200,39.836713
-200.0,200,39.861034
-200.0,200,39.885635
-200.0,200,39.909584
-200.0,200,40.237779
-200.0,200,40.262624
-200.0,200,40.287089
-200.0,200,40.311399
-200.0,200,40.335995
-200.0,200,40.361025
-200.0,200,40.385638
-200.0,200,40.409983
-200.0,200,40.434608
-200.0,200,40.4594
-200.0,200,40.484001
-200.0,200,40.809749
-200.0,200,40.834007
-200.0,200,40.858709
-200.0,200,40.883336
-200.0,200,40.907542
-200.0,200,40.931927
-200.0,200,40.956242
-200.0,200,40.980619
-200.0,200,41.004931
-200.0,200,41.02944
-200.0,200,41.353761
-200.0,200,41.37798
-200.0,200,41.402275
-200.0,200,41.426585
-200.0,200,41.451352
-200.0,200,41.47558
-200.0,200,41.499568
-200.0,200,41.523885
-200.0,200,41.548441
-200.0,200,41.573001
-200.0,200,41.89691
-200.0,200,41.921007
-200.0,200,41.945485
-200.0,200,42.06213
-200.0,200,42.086911
-200.0,200,42.111494
-200.0,200,42.136072
-200.0,200,42.16061
-200.0,200,42.184633
-200.0,200,42.209111
-200.0,200,42.534251
-200.0,200,42.55948
-200.0,200,42.584446
-200.0,200,42.608918
-200.0,200,42.633373
-200.0,200,42.657597
-200.0,200,42.682265
-200.0,200,42.706787
-200.0,200,42.731139
-200.0,200,42.755638
-200.0,200,42.780157
-200.0,200,43.10643
-166.0,166,43.126525
-200.0,200,43.150448
-200.0,200,43.17444
-200.0,200,43.198859
-200.0,200,43.222904
-200.0,200,43.247104
-200.0,200,43.271524
-200.0,200,43.296155
-179.0,179,43.31777
-200.0,200,43.642266
-200.0,200,43.666399
-200.0,200,43.690391
-200.0,200,43.714402
-200.0,200,43.738252
-200.0,200,43.762163
-200.0,200,43.786099
-200.0,200,43.810078
-200.0,200,43.835206
-200.0,200,43.859908
-200.0,200,44.185786
-200.0,200,44.20998
-200.0,200,44.233945
-200.0,200,44.257957
-200.0,200,44.281866
-200.0,200,44.30576
-200.0,200,44.329594
-200.0,200,44.353891
-200.0,200,44.377967
-200.0,200,44.402053
-200.0,200,44.785651
-199.0,199,44.810287
-155.0,155,44.921814
-200.0,200,44.946917
-200.0,200,44.972066
-200.0,200,44.998161
-200.0,200,45.02281
-200.0,200,45.047386
-200.0,200,45.071724
-162.0,162,45.09143
-200.0,200,45.115599
-200.0,200,45.446801
-200.0,200,45.471088
-200.0,200,45.49615
-200.0,200,45.52083
-200.0,200,45.545275
-200.0,200,45.569993
-200.0,200,45.594086
-200.0,200,45.618853
-200.0,200,45.643232
-200.0,200,45.668302
-200.0,200,46.025308
-195.0,195,46.050189
-200.0,200,46.075821
-185.0,185,46.09951
-200.0,200,46.12476
-200.0,200,46.150664
-168.0,168,46.171868
-200.0,200,46.197194
-167.0,167,46.218008
-200.0,200,46.24301
-189.0,189,46.266914
-200.0,200,46.599412
-200.0,200,46.62432
-200.0,200,46.648984
-165.0,165,46.670066
-157.0,157,46.689418
-200.0,200,46.713902
-200.0,200,46.738315
-200.0,200,46.763017
-200.0,200,46.787421
-150.0,150,46.805727
-148.0,148,46.823723
-198.0,198,47.159319
-156.0,156,47.178393
-200.0,200,47.202657
-200.0,200,47.226946
-200.0,200,47.251256
-186.0,186,47.273803
-199.0,199,47.297826
-196.0,196,47.32139
-182.0,182,47.3433
-200.0,200,47.368954
-200.0,200,47.393834
-200.0,200,47.811266
-200.0,200,47.835864
-200.0,200,47.860589
-179.0,179,47.882353
-187.0,187,47.905151
-185.0,185,47.92748
-193.0,193,47.951035
-181.0,181,47.97307
-194.0,194,47.996338
-197.0,197,48.020105
-200.0,200,48.044068
-194.0,194,48.382642
-178.0,178,48.405022
-200.0,200,48.430115
-199.0,199,48.455169
-185.0,185,48.478277
-185.0,185,48.501297
-187.0,187,48.524548
-192.0,192,48.547935
-186.0,186,48.570413
-200.0,200,48.594524
-198.0,198,48.929336
-190.0,190,48.953444
-181.0,181,48.976348
-191.0,191,49.000661
-144.0,144,49.01859
-200.0,200,49.043402
-182.0,182,49.066399
-175.0,175,49.088234
-200.0,200,49.112996
-194.0,194,49.137096
-177.0,177,49.159011
-200.0,200,49.495389
-126.0,126,49.51162
-185.0,185,49.535069
-192.0,192,49.559485
-177.0,177,49.582869
-192.0,192,49.60706
-190.0,190,49.630688
-175.0,175,49.652227
-109.0,109,49.665544
-192.0,192,49.689074
-188.0,188,49.711752
-124.0,124,49.726773
-183.0,183,50.051655
-194.0,194,50.074997
-138.0,138,50.09152
-183.0,183,50.113227
-176.0,176,50.134211
-134.0,134,50.150107
-195.0,195,50.173213
-132.0,132,50.18877
-172.0,172,50.209085
-185.0,185,50.23092
-165.0,165,50.25048
-141.0,141,50.346728
-181.0,181,50.370594
-124.0,124,50.688756
-200.0,200,50.713216
-200.0,200,50.737304
-200.0,200,50.761369
-155.0,155,50.779984
-150.0,150,50.79788
-134.0,134,50.8139
-143.0,143,50.831042
-124.0,124,50.845926
-124.0,124,50.861578
-186.0,186,50.884283
-200.0,200,50.908251
-138.0,138,50.925339
-170.0,170,51.246419
-129.0,129,51.261954
-103.0,103,51.274256
-200.0,200,51.297981
-195.0,195,51.321349
-112.0,112,51.334729
-135.0,135,51.35091
-135.0,135,51.367761
-166.0,166,51.387629
-200.0,200,51.411449
-167.0,167,51.431759
-177.0,177,51.453514
-120.0,120,51.468282
-160.0,160,51.787637
-167.0,167,51.807617
-177.0,177,51.828663
-172.0,172,51.849091
-156.0,156,51.868342
-167.0,167,51.888466
-158.0,158,51.907832
-111.0,111,51.921316
-171.0,171,51.941945
-145.0,145,51.959408
-158.0,158,51.97848
-138.0,138,51.995101
-183.0,183,52.016825
-173.0,173,52.337362
-200.0,200,52.362081
-174.0,174,52.383439
-182.0,182,52.405417
-173.0,173,52.426147
-167.0,167,52.445851
-163.0,163,52.465097
-98.0,98,52.476603
-103.0,103,52.488736
-178.0,178,52.509704
-200.0,200,52.533777
-168.0,168,52.554102
-168.0,168,52.883396
-102.0,102,52.895966
-111.0,111,52.909555
-115.0,115,52.923499
-175.0,175,52.944383
-168.0,168,52.965493
-135.0,135,52.982071
-179.0,179,53.003693
-176.0,176,53.024858
-190.0,190,53.049835
-169.0,169,53.153003
-134.0,134,53.170222
-177.0,177,53.192247
-151.0,151,53.210659
-200.0,200,53.548424
-163.0,163,53.568541
-164.0,164,53.589066
-192.0,192,53.612662
-175.0,175,53.634235
-169.0,169,53.655099
-168.0,168,53.675369
-169.0,169,53.695794
-186.0,186,53.718539
-169.0,169,53.739242
-188.0,188,53.762241
-172.0,172,54.090463
-173.0,173,54.111736
-123.0,123,54.12673
-193.0,193,54.150644
-170.0,170,54.171535
-189.0,189,54.194671
-177.0,177,54.216351
-176.0,176,54.237646
-123.0,123,54.252626
-106.0,106,54.265526
-140.0,140,54.282556
-183.0,183,54.30487
-92.0,92,54.316203
-99.0,99,54.328133
-112.0,112,54.648518
-176.0,176,54.669617
-97.0,97,54.681271
-95.0,95,54.692618
-104.0,104,54.70506
-95.0,95,54.716448
-173.0,173,54.737077
-187.0,187,54.759328
-183.0,183,54.781058
-170.0,170,54.801364
-159.0,159,54.820287
-164.0,164,54.839843
-188.0,188,54.862816
-175.0,175,54.884514
-144.0,144,55.201009
-168.0,168,55.221169
-169.0,169,55.241468
-95.0,95,55.252857
-101.0,101,55.264926
-178.0,178,55.286111
-167.0,167,55.306109
-176.0,176,55.32713
-170.0,170,55.347452
-168.0,168,55.368814
-185.0,185,55.391397
-171.0,171,55.412154
-165.0,165,55.73877
-102.0,102,55.751462
-103.0,103,55.764085
-159.0,159,55.783232
-168.0,168,55.803457
-166.0,166,55.823334
-184.0,184,55.845404
-163.0,163,55.865576
-109.0,109,55.878658
-98.0,98,55.890406
-170.0,170,55.978294
-166.0,166,55.999078
-175.0,175,56.020297
-181.0,181,56.042335
-105.0,105,56.35746
-170.0,170,56.378487
-173.0,173,56.399204
-166.0,166,56.419021
-162.0,162,56.438313
-178.0,178,56.459493
-177.0,177,56.481388
-172.0,172,56.502439
-182.0,182,56.52499
-195.0,195,56.548783
-172.0,172,56.569359
-169.0,169,56.589532
-93.0,93,56.600655
-164.0,164,56.925002
-174.0,174,56.946373
-174.0,174,56.967403
-174.0,174,56.988561
-176.0,176,57.01027
-168.0,168,57.030604
-168.0,168,57.050892
-179.0,179,57.072685
-166.0,166,57.092706
-168.0,168,57.11319
-171.0,171,57.133875
-167.0,167,57.155277
-102.0,102,57.472927
-88.0,88,57.483899
-161.0,161,57.503396
-174.0,174,57.524443
-165.0,165,57.544296
-183.0,183,57.566258
-171.0,171,57.586799
-158.0,158,57.60573
-180.0,180,57.627297
-144.0,144,57.644578
-177.0,177,57.665829
-171.0,171,57.686243
-162.0,162,57.705623
-196.0,196,58.028803
-167.0,167,58.049592
-184.0,184,58.072061
-155.0,155,58.090912
-176.0,176,58.112362
-122.0,122,58.12724
-167.0,167,58.147552
-132.0,132,58.163558
-187.0,187,58.186178
-106.0,106,58.199103
-160.0,160,58.218485
-130.0,130,58.234263
-168.0,168,58.254661
-166.0,166,58.574128
-127.0,127,58.589617
-96.0,96,58.601225
-133.0,133,58.617308
-148.0,148,58.635114
-200.0,200,58.659098
-133.0,133,58.675147
-119.0,119,58.689421
-99.0,99,58.771669
-104.0,104,58.784817
-97.0,97,58.796932
-176.0,176,58.819028
-115.0,115,58.833319
-163.0,163,58.854058
-115.0,115,58.868453
-128.0,128,59.185122
-125.0,125,59.200333
-137.0,137,59.216889
-134.0,134,59.232999
-182.0,182,59.254825
-166.0,166,59.275146
-101.0,101,59.287364
-105.0,105,59.30019
-132.0,132,59.316186
-124.0,124,59.331518
-130.0,130,59.347712
-102.0,102,59.360538
-98.0,98,59.372534
-200.0,200,59.397055
-162.0,162,59.416852
-184.0,184,59.751943
-117.0,117,59.767355
-174.0,174,59.789592
-168.0,168,59.810776
-168.0,168,59.832489
-166.0,166,59.871433
-162.0,162,59.894945
-118.0,118,59.909712
-136.0,136,59.927175
-160.0,160,59.947195
-93.0,93,59.958459
-157.0,157,59.978035
-114.0,114,59.991973
-117.0,117,60.006223
-96.0,96,60.017827
-129.0,129,60.337912
-112.0,112,60.3517
-95.0,95,60.364222
-170.0,170,60.385032
-120.0,120,60.39987
-171.0,171,60.420987
-183.0,183,60.443234
-162.0,162,60.463189
-180.0,180,60.485192
-140.0,140,60.502286
-173.0,173,60.523785
-177.0,177,60.545459
-109.0,109,60.558889
-165.0,165,60.579266
-97.0,97,60.95698
-128.0,128,60.97347
-129.0,129,60.989699
-163.0,163,61.009709
