#{"t_start": 1780643299.747448, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,36.011703
-194.0,194,36.035499
-200.0,200,36.060375
-200.0,200,36.388672
-200.0,200,36.413279
-200.0,200,36.437876
-200.0,200,36.462417
-200.0,200,36.487955
-200.0,200,36.512021
-196.0,196,36.536264
-192.0,192,36.559323
-200.0,200,36.583292
-200.0,200,36.607719
-200.0,200,36.632162
-200.0,200,36.958317
-200.0,200,36.983775
-200.0,200,37.010281
-200.0,200,37.034873
-200.0,200,37.059315
-191.0,191,37.173815
-200.0,200,37.198239
-200.0,200,37.223138
-200.0,200,37.247927
-200.0,200,37.272996
-200.0,200,37.603026
-200.0,200,37.626668
-195.0,195,37.650415
-200.0,200,37.675016
-200.0,200,37.699254
-200.0,200,37.724078
-200.0,200,37.74813
-200.0,200,37.771874
-194.0,194,37.795537
-200.0,200,37.819293
-199.0,199,38.149144
-193.0,193,38.172591
-200.0,200,38.196735
-200.0,200,38.22055
-194.0,194,38.24396
-199.0,199,38.267566
-192.0,192,38.290401
-200.0,200,38.314532
-195.0,195,38.338311
-200.0,200,38.361663
-190.0,190,38.384015
-200.0,200,38.720188
-200.0,200,38.744988
-200.0,200,38.769376
-200.0,200,38.793529
-200.0,200,38.817687
-200.0,200,38.884082
-200.0,200,38.909625
-199.0,199,38.933964
-200.0,200,38.958948
-198.0,198,38.983635
-200.0,200,39.314096
-200.0,200,39.338294
-200.0,200,39.362215
-200.0,200,39.386112
-194.0,194,39.409355
-200.0,200,39.433145
-200.0,200,39.457091
-200.0,200,39.481492
-200.0,200,39.505564
-200.0,200,39.529414
-200.0,200,39.856483
-200.0,200,39.8809
-192.0,192,39.904057
-200.0,200,39.92807
-200.0,200,40.044622
-200.0,200,40.06992
-200.0,200,40.095168
-198.0,198,40.120248
-200.0,200,40.14481
-200.0,200,40.168885
-200.0,200,40.192752
-200.0,200,40.52422
-200.0,200,40.54951
-200.0,200,40.574395
-200.0,200,40.598497
-200.0,200,40.623374
-200.0,200,40.647499
-192.0,192,40.671066
-200.0,200,40.694934
-197.0,197,40.718217
-200.0,200,40.74257
-192.0,192,41.072567
-200.0,200,41.097004
-200.0,200,41.121559
-200.0,200,41.145528
-200.0,200,41.169434
-200.0,200,41.193013
-191.0,191,41.215248
-200.0,200,41.238625
-194.0,194,41.261343
-200.0,200,41.284854
-200.0,200,41.637452
-194.0,194,41.661367
-200.0,200,41.686221
-200.0,200,41.71095
-200.0,200,41.735391
-193.0,193,41.758333
-168.0,168,41.777928
-200.0,200,41.801075
-200.0,200,41.824589
-200.0,200,41.847947
-137.0,137,41.864058
-186.0,186,42.209765
-183.0,183,42.232108
-200.0,200,42.256485
-192.0,192,42.279742
-124.0,124,42.294888
-185.0,185,42.316917
-200.0,200,42.341107
-174.0,174,42.362486
-196.0,196,42.386097
-186.0,186,42.409233
-193.0,193,42.432721
-200.0,200,42.764085
-193.0,193,42.787455
-195.0,195,42.810901
-200.0,200,42.921739
-200.0,200,42.946077
-200.0,200,42.970669
-179.0,179,42.993279
-190.0,190,43.016185
-200.0,200,43.041048
-117.0,117,43.055331
-200.0,200,43.079014
-197.0,197,43.40796
-200.0,200,43.43249
-186.0,186,43.455187
-200.0,200,43.479757
-121.0,121,43.495215
-124.0,124,43.510431
-181.0,181,43.532412
-200.0,200,43.556235
-126.0,126,43.571728
-171.0,171,43.592568
-118.0,118,43.606892
-195.0,195,43.631323
-156.0,156,43.95276
-117.0,117,43.967243
-200.0,200,43.992416
-162.0,162,44.012288
-120.0,120,44.02691
-183.0,183,44.049185
-134.0,134,44.065672
-123.0,123,44.080859
-117.0,117,44.095149
-200.0,200,44.119355
-155.0,155,44.138246
-188.0,188,44.160961
-195.0,195,44.184528
-117.0,117,44.198701
-179.0,179,44.52701
-123.0,123,44.542899
-115.0,115,44.557111
-148.0,148,44.575181
-198.0,198,44.599471
-116.0,116,44.613598
-196.0,196,44.637466
-179.0,179,44.659306
-151.0,151,44.677762
-200.0,200,44.702298
-177.0,177,44.724468
-148.0,148,44.742841
-146.0,146,45.071121
-160.0,160,45.090693
-117.0,117,45.104868
-197.0,197,45.12847
-113.0,113,45.141978
-121.0,121,45.156396
-148.0,148,45.173907
-159.0,159,45.192847
-153.0,153,45.211796
-177.0,177,45.233449
-192.0,192,45.256753
-172.0,172,45.277562
-115.0,115,45.291458
-150.0,150,45.309544
-145.0,145,45.631178
-151.0,151,45.650051
-113.0,113,45.720101
-116.0,116,45.734295
-115.0,115,45.748411
-114.0,114,45.762282
-118.0,118,45.776541
-146.0,146,45.79426
-147.0,147,45.812002
-162.0,162,45.831553
-112.0,112,45.844818
-153.0,153,45.862851
-146.0,146,45.880031
-146.0,146,45.897607
-120.0,120,45.912139
-147.0,147,46.235849
-144.0,144,46.253825
-114.0,114,46.268034
-173.0,173,46.289765
-149.0,149,46.308908
-115.0,115,46.323173
-113.0,113,46.337022
-117.0,117,46.351348
-118.0,118,46.365762
-200.0,200,46.390187
-178.0,178,46.412142
-115.0,115,46.425745
-114.0,114,46.43919
-160.0,160,46.458071
-136.0,136,46.474259
-150.0,150,46.806064
-112.0,112,46.820283
-116.0,116,46.834463
-115.0,115,46.848326
-112.0,112,46.86178
-112.0,112,46.875149
-109.0,109,46.888745
-115.0,115,46.902899
-157.0,157,46.922042
-111.0,111,46.935611
-116.0,116,46.949505
-147.0,147,46.967237
-146.0,146,46.98609
-157.0,157,47.006084
-114.0,114,47.020195
-144.0,144,47.03804
-146.0,146,47.36695
-115.0,115,47.381155
-151.0,151,47.399591
-117.0,117,47.413819
-120.0,120,47.428423
-189.0,189,47.451238
-116.0,116,47.465201
-145.0,145,47.48335
-113.0,113,47.497329
-110.0,110,47.510679
-149.0,149,47.52933
-113.0,113,47.543358
-152.0,152,47.561935
-117.0,117,47.576137
-114.0,114,47.589886
-155.0,155,47.919185
-111.0,111,47.933852
-153.0,153,47.953372
-159.0,159,47.973668
-109.0,109,47.988337
-110.0,110,48.002773
-113.0,113,48.017559
-111.0,111,48.031918
-119.0,119,48.046879
-111.0,111,48.06046
-112.0,112,48.074894
-115.0,115,48.089187
-89.0,89,48.100204
-113.0,113,48.114314
-112.0,112,48.128086
-111.0,111,48.141767
-155.0,155,48.160845
-113.0,113,48.174694
